date,sector,close,daily_return_pct
2026-07-07,航運,184.81,-3.06
2026-07-07,觀光餐旅,102.64,-0.71
2026-07-07,貿易百貨,246.1,-0.3
2026-07-07,資訊服務,207.67,-1.48
2026-07-07,通信網路,249.58,-3.41
2026-07-07,造紙,282.45,-1.49
2026-07-07,運動休閒,58.42,-0.76
2026-07-07,金融保險,3135.85,1.15
2026-07-07,鋼鐵,116.04,-1.56
2026-07-07,電器電纜,106.63,-3.32
2026-07-07,電子通路,374.47,-1.76
2026-07-07,電子零組件,921.43,-5.72
2026-07-07,電機機械,552.29,-3.84
2026-07-07,電腦及週邊設備,400.03,-3.13
2026-07-07,食品,1982.37,-0.44
2026-07-08,光電,68.37,1.06
2026-07-08,其他,278.72,0.7
2026-07-08,其他電子,263.63,-1.23
2026-07-08,化學,205.94,-0.68
2026-07-08,化學生技醫療,178.54,-0.11
2026-07-08,半導體,1572.23,0.66
2026-07-08,塑膠,323.33,6.01
2026-07-08,居家生活,98.34,-2.26
2026-07-08,建材營造,458.23,-0.34
2026-07-08,數位雲端,43.51,0.55
2026-07-08,橡膠,197.26,-1.0
2026-07-08,水泥,120.37,-1.22
2026-07-08,汽車,298.61,0.08
2026-07-08,油電燃氣,85.29,1.86
2026-07-08,玻璃陶瓷,155.93,2.06
2026-07-08,生技醫療,101.39,0.14
2026-07-08,紡織纖維,499.98,-2.28
2026-07-08,綠能環保,142.21,0.57
2026-07-08,航運,187.9,1.67
2026-07-08,觀光餐旅,102.0,-0.62
2026-07-08,貿易百貨,246.45,0.14
2026-07-08,資訊服務,208.73,0.51
2026-07-08,通信網路,244.78,-1.92
2026-07-08,造紙,279.7,-0.97
2026-07-08,運動休閒,57.84,-0.99
2026-07-08,金融保險,3184.91,1.56
2026-07-08,鋼鐵,116.09,0.04
2026-07-08,電器電纜,105.24,-1.3
2026-07-08,電子通路,366.0,-2.26
2026-07-08,電子零組件,926.19,0.52
2026-07-08,電機機械,544.67,-1.38
2026-07-08,電腦及週邊設備,401.85,0.45
2026-07-08,食品,1976.46,-0.3
2026-07-09,光電,69.06,1.01
2026-07-09,其他,277.98,-0.27
2026-07-09,其他電子,262.66,-0.37
2026-07-09,化學,203.26,-1.3
2026-07-09,化學生技醫療,174.31,-2.37
2026-07-09,半導體,1554.72,-1.11
2026-07-09,塑膠,315.41,-2.45
2026-07-09,居家生活,98.46,0.12
2026-07-09,建材營造,458.39,0.03
2026-07-09,數位雲端,43.11,-0.92
2026-07-09,橡膠,196.83,-0.22
2026-07-09,水泥,119.1,-1.06
2026-07-09,汽車,295.56,-1.02
2026-07-09,油電燃氣,84.43,-1.01
2026-07-09,玻璃陶瓷,153.55,-1.53
2026-07-09,生技醫療,98.53,-2.82
2026-07-09,紡織纖維,490.48,-1.9
2026-07-09,綠能環保,145.99,2.66
2026-07-09,航運,187.06,-0.45
2026-07-09,觀光餐旅,101.79,-0.21
2026-07-09,貿易百貨,247.25,0.32
2026-07-09,資訊服務,212.18,1.65
2026-07-09,通信網路,243.39,-0.57
2026-07-09,造紙,277.56,-0.77
2026-07-09,運動休閒,57.94,0.17
2026-07-09,金融保險,3144.8,-1.26
2026-07-09,鋼鐵,115.6,-0.42
2026-07-09,電器電纜,104.11,-1.07
2026-07-09,電子通路,365.88,-0.03
2026-07-09,電子零組件,929.81,0.39
2026-07-09,電機機械,532.83,-2.17
2026-07-09,電腦及週邊設備,401.35,-0.12
2026-07-09,食品,1972.79,-0.19
2026-07-13,光電,68.4,-0.96
2026-07-13,其他,279.63,0.59
2026-07-13,其他電子,262.43,-0.09
2026-07-13,化學,200.96,-1.13
2026-07-13,化學生技醫療,170.8,-2.01
2026-07-13,半導體,1558.32,0.23
2026-07-13,塑膠,343.6,8.94
2026-07-13,居家生活,100.34,1.91
2026-07-13,建材營造,460.52,0.46
2026-07-13,數位雲端,42.26,-1.97
2026-07-13,橡膠,198.75,0.98
2026-07-13,水泥,118.57,-0.45
2026-07-13,汽車,293.26,-0.78
2026-07-13,油電燃氣,88.84,5.22
2026-07-13,玻璃陶瓷,152.2,-0.88
2026-07-13,生技醫療,96.18,-2.39
2026-07-13,紡織纖維,489.07,-0.29
2026-07-13,綠能環保,151.82,3.99
2026-07-13,航運,188.23,0.63
2026-07-13,觀光餐旅,101.5,-0.28
2026-07-13,貿易百貨,244.68,-1.04
2026-07-13,資訊服務,211.49,-0.33
2026-07-13,通信網路,241.03,-0.97
2026-07-13,造紙,268.24,-3.36
2026-07-13,運動休閒,57.45,-0.85
2026-07-13,金融保險,3129.31,-0.49
2026-07-13,鋼鐵,115.12,-0.42
2026-07-13,電器電纜,103.5,-0.59
2026-07-13,電子通路,372.58,1.83
2026-07-13,電子零組件,919.29,-1.13
2026-07-13,電機機械,535.41,0.48
2026-07-13,電腦及週邊設備,398.75,-0.65
2026-07-13,食品,1978.01,0.26
2026-07-14,光電,65.81,-3.79
2026-07-14,其他,281.44,0.65
2026-07-14,其他電子,258.72,-1.41
2026-07-14,化學,199.56,-0.7
2026-07-14,化學生技醫療,167.98,-1.65
2026-07-14,半導體,1537.07,-1.36
2026-07-14,塑膠,359.44,4.61
2026-07-14,居家生活,99.47,-0.87
2026-07-14,建材營造,458.42,-0.46
2026-07-14,數位雲端,41.75,-1.21
2026-07-14,橡膠,198.64,-0.06
2026-07-14,水泥,117.18,-1.17
2026-07-14,汽車,293.14,-0.04
2026-07-14,油電燃氣,92.37,3.97
2026-07-14,玻璃陶瓷,148.57,-2.39
2026-07-14,生技醫療,94.19,-2.07
2026-07-14,紡織纖維,485.54,-0.72
2026-07-14,綠能環保,148.99,-1.86
2026-07-14,航運,186.23,-1.06
2026-07-14,觀光餐旅,100.92,-0.57
2026-07-14,貿易百貨,246.87,0.9
2026-07-14,資訊服務,209.31,-1.03
2026-07-14,通信網路,234.54,-2.69
2026-07-14,造紙,269.92,0.63
2026-07-14,運動休閒,57.23,-0.38
2026-07-14,金融保險,3096.33,-1.05
2026-07-14,鋼鐵,115.13,0.01
2026-07-14,電器電纜,101.43,-2.0
2026-07-14,電子通路,368.52,-1.09
2026-07-14,電子零組件,894.07,-2.74
2026-07-14,電機機械,518.88,-3.09
2026-07-14,電腦及週邊設備,392.53,-1.56
2026-07-14,食品,1972.78,-0.26
2026-07-15,光電,66.06,0.38
2026-07-15,其他,285.04,1.28
2026-07-15,其他電子,266.67,3.07
2026-07-15,化學,205.4,2.93
2026-07-15,化學生技醫療,176.12,4.85
2026-07-15,半導體,1564.63,1.79
2026-07-15,塑膠,383.69,6.75
2026-07-15,居家生活,97.47,-2.01
2026-07-15,建材營造,466.31,1.72
2026-07-15,數位雲端,42.21,1.1
2026-07-15,橡膠,200.44,0.91
2026-07-15,水泥,120.31,2.67
2026-07-15,汽車,294.49,0.46
2026-07-15,油電燃氣,100.21,8.49
2026-07-15,玻璃陶瓷,150.91,1.58
2026-07-15,生技醫療,99.55,5.69
2026-07-15,紡織纖維,492.04,1.34
2026-07-15,綠能環保,151.59,1.75
2026-07-15,航運,190.83,2.47
2026-07-15,觀光餐旅,101.55,0.62
2026-07-15,貿易百貨,250.29,1.39
2026-07-15,資訊服務,211.31,0.96
2026-07-15,通信網路,238.57,1.72
2026-07-15,造紙,277.12,2.67
2026-07-15,運動休閒,57.51,0.49
2026-07-15,金融保險,3107.98,0.38
2026-07-15,鋼鐵,117.22,1.82
2026-07-15,電器電纜,104.88,3.4
2026-07-15,電子通路,372.39,1.05
2026-07-15,電子零組件,922.25,3.15
2026-07-15,電機機械,535.51,3.2
2026-07-15,電腦及週邊設備,398.28,1.46
2026-07-15,食品,1984.65,0.6
2026-07-16,光電,66.15,0.14
2026-07-16,其他,286.34,0.46
2026-07-16,其他電子,269.93,1.22
2026-07-16,化學,203.33,-1.01
2026-07-16,化學生技醫療,174.41,-0.97
2026-07-16,半導體,1570.52,0.38
2026-07-16,塑膠,375.34,-2.18
2026-07-16,居家生活,98.65,1.21
2026-07-16,建材營造,473.14,1.46
2026-07-16,數位雲端,42.43,0.52
2026-07-16,橡膠,202.86,1.21
2026-07-16,水泥,118.94,-1.14
2026-07-16,汽車,296.89,0.81
2026-07-16,油電燃氣,108.62,8.39
2026-07-16,玻璃陶瓷,147.04,-2.56
2026-07-16,生技醫療,98.6,-0.95
2026-07-16,紡織纖維,494.61,0.52
2026-07-16,綠能環保,154.96,2.22
2026-07-16,航運,189.11,-0.9
2026-07-16,觀光餐旅,100.4,-1.13
2026-07-16,貿易百貨,251.19,0.36
2026-07-16,資訊服務,210.54,-0.36
2026-07-16,通信網路,239.52,0.4
2026-07-16,造紙,274.3,-1.02
2026-07-16,運動休閒,58.37,1.5
2026-07-16,金融保險,3107.12,-0.03
2026-07-16,鋼鐵,117.32,0.09
2026-07-16,電器電纜,103.88,-0.95
2026-07-16,電子通路,368.81,-0.96
2026-07-16,電子零組件,904.38,-1.94
2026-07-16,電機機械,528.67,-1.28
2026-07-16,電腦及週邊設備,393.13,-1.29
2026-07-16,食品,2004.49,1.0
2026-07-17,光電,61.64,-6.82
2026-07-17,其他,281.05,-1.85
2026-07-17,其他電子,256.2,-5.09
2026-07-17,化學,192.27,-5.44
2026-07-17,化學生技醫療,165.25,-5.25
2026-07-17,半導體,1449.47,-7.71
2026-07-17,塑膠,345.86,-7.85
2026-07-17,居家生活,98.4,-0.25
2026-07-17,建材營造,467.35,-1.22
2026-07-17,數位雲端,40.71,-4.05
2026-07-17,橡膠,200.43,-1.2
2026-07-17,水泥,117.84,-0.92
2026-07-17,汽車,290.54,-2.14
2026-07-17,油電燃氣,110.01,1.28
2026-07-17,玻璃陶瓷,135.35,-7.95
2026-07-17,生技醫療,93.5,-5.17
2026-07-17,紡織纖維,486.2,-1.7
2026-07-17,綠能環保,147.17,-5.03
