date,score,technical,volume,margin,institutional,mdd_5d_pct,mdd_20d_pct
2024-12-10,69.7,83.0,75.3,71.7,48.8,0.9576,2.8419
2024-12-11,66.2,80.3,74.2,71.9,38.2,0.1249,2.8419
2024-12-12,73.8,74.8,75.2,72.5,72.5,1.0204,2.8419
2024-12-13,70.8,74.3,80.6,72.3,56.1,2.8419,4.917
2024-12-16,77.5,74.9,80.7,74.9,79.6,2.8419,4.917
2024-12-17,75.6,73.7,81.0,73.2,74.4,2.8419,4.917
2024-12-18,75.3,75.9,76.2,72.0,77.2,2.8419,4.917
2024-12-19,59.3,73.2,76.8,70.1,17.0,1.8402,4.917
2024-12-20,55.5,58.1,71.1,69.3,23.4,0.0,4.917
2024-12-23,81.0,74.2,78.3,71.4,100.0,0.3673,4.917
2024-12-24,77.1,75.1,79.9,71.7,81.6,1.0336,4.917
2024-12-25,80.9,84.7,78.6,72.2,88,1.9059,4.917
2024-12-26,77.0,85.1,78.7,71.3,72.9,1.9059,4.917
2024-12-27,76.3,85.4,75.8,71.5,72.5,1.9059,4.917
2024-12-30,68.7,83.0,75.8,71.1,44.7,1.5444,4.917
2024-12-31,60.8,72.8,73.7,71.6,25.4,1.0314,4.917
2025-01-02,59.9,68.6,75.5,69.8,25.6,2.4106,4.917
2025-01-03,74.5,69.5,79.7,70.4,78.5,2.7035,4.917
2025-01-06,84.4,86.1,80.0,71.4,100.0,4.917,4.917
2025-01-07,79.3,86.8,82.4,72.4,75.6,4.917,4.917
2025-01-08,68.2,84.1,74.1,71.4,43.3,3.9261,3.9261
2025-01-09,61.6,73.1,75.9,71.4,25.9,2.5683,3.5311
2025-01-10,65.0,70.8,79.4,71.6,38.3,2.275,3.5311
2025-01-13,49.8,63.9,59.6,51.2,24.7,1.2411,3.5311
2025-01-14,65.7,68.1,65.0,81.3,48.4,1.2411,3.5311
2025-01-15,58.0,64.6,73.5,65.5,28.3,0.0,3.5311
2025-01-16,78.9,72.1,77.9,65.7,100.0,3.5311,3.5311
2025-01-17,77.3,81.7,74.1,73.7,79.9,3.5311,3.5311
